plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,source_type,category
a4b4ca,N402HM,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-97.1641,34.3947,5006.34,False,187.83,344.59,-9.43,5265.42,0,0
76ccc9,SIA7896,Singapore,2026-09-12 11:22:24+00:00,2026-09-12 11:22:24+00:00,104.6014,3.7107,10668.0,False,240.53,35.42,0.0,11376.66,0,0
407959,EZY48VN,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-0.2943,51.1359,876.3,False,105.97,279.78,7.8,1021.08,0,0
e0b392,ARG1772,Argentina,2026-09-12 11:26:26+00:00,2026-09-12 11:26:26+00:00,-55.4283,-27.4002,11277.6,False,216.59,33.77,0.0,11719.56,0,0
a51d6f,DAL212,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,23.9352,37.9387,,True,30.35,36.56,,,0,0
e0b391,ARG1778,Argentina,2026-09-12 11:26:27+00:00,2026-09-12 11:26:28+00:00,-58.0426,-32.0132,11277.6,False,213.3,9.44,0.0,11452.86,0,0
76cd45,SIA309,Singapore,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,24.3141,45.4037,11277.6,False,260.25,117.68,-0.33,11711.94,0,0
76cd44,SIA301,Singapore,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,16.0663,49.5886,11277.6,False,270.13,127.96,0.0,11559.54,0,0
c010ec,,Canada,2026-09-12 11:26:16+00:00,2026-09-12 11:26:16+00:00,-79.6104,43.6782,,True,2.06,250.31,,,0,0
152061,SVR2920,Russian Federation,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,90.3255,55.2352,9166.86,False,215.28,48.0,-11.7,9525.0,0,0
15204b,SVR1366,Russian Federation,2026-09-12 11:26:26+00:00,2026-09-12 11:26:27+00:00,85.6714,55.2495,10972.8,False,224.08,265.13,0.0,11330.94,0,0
4d00f6,LGL54KF,Luxembourg,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,8.9224,42.2714,8145.78,False,228.47,1.29,7.8,8549.64,0,0
8965cb,ROJ009,United Arab Emirates,2026-09-12 11:26:09+00:00,2026-09-12 11:26:14+00:00,51.5579,25.27,,True,0.9,250.31,,,0,0
a1afec,MXY1466,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-81.0508,38.5746,9448.8,False,234.11,160.89,-0.33,9966.96,0,0
a2396e,SWA3326,United States,2026-09-12 11:22:45+00:00,2026-09-12 11:22:45+00:00,-76.667,39.1698,,True,7.46,73.12,,,0,0
8965d6,FDB829,United Arab Emirates,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,53.5077,23.6989,10386.06,False,233.48,239.99,2.93,11087.1,0,0
152071,SVR1580,Russian Federation,2026-09-12 11:26:23+00:00,2026-09-12 11:26:23+00:00,34.3561,37.7777,10058.4,False,234.36,43.4,0.33,10568.94,0,0
a22669,MXY9033,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-73.3292,39.891,10363.2,False,220.79,228.21,0.0,10919.46,0,0
8965ce,FDB1848,United Arab Emirates,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,38.4926,32.1137,10058.4,False,255.6,153.59,0.0,10675.62,0,0
